556.0,177.2
556.1,177.3
557.1,178.2
557.6,178.6
558.1,179.0
558.6,179.5
559.1,180.0
559.6,180.4
560.2,180.9
560.7,181.3
561.3,181.8
561.8,182.3
562.4,182.8
562.8,183.2
563.4,183.7
563.9,184.1
564.5,184.6
565.0,185.0
565.6,185.5
566.7,186.4
567.2,186.9
567.7,187.3
568.3,187.8
568.8,188.2
569.4,188.7
569.9,189.1
570.5,189.6
571.0,190.0
571.6,190.5
572.0,190.9
572.6,191.4
573.1,191.9
573.7,192.3
574.2,192.8
574.8,193.2
575.3,193.7
575.9,194.2
576.5,194.6
576.9,195.1
577.5,195.6
578.0,196.0
578.6,196.5
579.1,196.9
579.7,197.4
580.2,197.8
580.8,198.3
581.3,198.7
581.8,199.2
582.3,199.6
582.9,200.1
583.4,200.5
584.0,201.0
584.5,201.4
585.1,201.9
585.6,202.4
586.1,202.9
586.7,203.4
587.2,203.8
587.8,204.3
588.3,204.7
588.8,205.2
589.3,205.6
589.9,206.1
590.4,206.6
590.9,207.1
591.4,207.5
592.0,208.0
592.5,208.4
593.1,208.9
593.6,209.4
594.1,209.9
594.6,210.3
595.2,210.8
596.2,211.8
596.8,212.3
597.2,212.7
597.8,213.2
598.3,213.7
598.8,214.2
599.3,214.6
599.9,215.1
600.4,215.6
600.9,216.1
601.4,216.6
601.9,217.1
602.4,217.5
603.0,218.0
603.5,218.5
604.0,219.0
604.5,219.5
605.0,220.0
605.5,220.5
606.0,221.0
606.5,221.5
607.0,222.0
607.5,222.5
608.0,223.0
608.5,223.5
609.0,224.0
609.5,224.5
610.0,225.0
610.5,225.5
611.0,226.0
611.5,226.5
612.0,227.0
612.5,227.5
613.0,228.0
613.5,228.5
614.0,229.0
614.5,229.5
615.0,230.0
615.5,230.5
615.9,231.0
616.4,231.6
616.9,232.1
617.4,232.6
617.9,233.1
618.4,233.6
618.9,234.2
619.3,234.7
619.8,235.2
620.3,235.7
620.8,236.3
621.2,236.8
621.7,237.3
622.2,237.8
622.7,238.4
623.1,238.9
623.6,239.5
624.0,240.0
624.5,240.5
625.0,241.0
625.5,241.6
625.9,242.1
626.4,242.7
626.9,243.3
627.3,243.8
627.8,244.3
628.2,244.8
628.7,245.4
629.1,245.9
629.6,246.5
630.0,247.0
630.5,247.6
631.0,248.2
631.4,248.7
631.9,249.3
632.2,249.8
