263.0,37.0
394.0,37.0
263.0,38.0
394.0,38.0
263.0,39.0
394.0,39.0
263.0,40.0
394.0,40.0
395.0,40.0
262.0,41.0
263.0,41.0
395.0,41.0
396.0,41.0
261.0,42.0
262.0,42.0
396.0,42.0
261.0,43.0
396.0,43.0
397.0,43.0
260.0,44.0
261.0,44.0
397.0,44.0
398.0,44.0
260.0,45.0
398.0,45.0
259.0,46.0
260.0,46.0
398.0,46.0
399.0,46.0
258.0,47.0
259.0,47.0
399.0,47.0
258.0,48.0
399.0,48.0
400.0,48.0
257.0,49.0
258.0,49.0
400.0,49.0
401.0,49.0
256.0,50.0
257.0,50.0
401.0,50.0
256.0,51.0
401.0,51.0
402.0,51.0
255.0,52.0
256.0,52.0
402.0,52.0
255.0,53.0
402.0,53.0
403.0,53.0
254.0,54.0
255.0,54.0
403.0,54.0
404.0,54.0
253.0,55.0
254.0,55.0
404.0,55.0
253.0,56.0
404.0,56.0
405.0,56.0
252.0,57.0
253.0,57.0
405.0,57.0
251.0,58.0
252.0,58.0
405.0,58.0
406.0,58.0
251.0,59.0
406.0,59.0
407.0,59.0
250.0,60.0
251.0,60.0
407.0,60.0
250.0,61.0
407.0,61.0
408.0,61.0
249.0,62.0
250.0,62.0
408.0,62.0
248.0,63.0
249.0,63.0
408.0,63.0
409.0,63.0
248.0,64.0
409.0,64.0
410.0,64.0
247.0,65.0
248.0,65.0
410.0,65.0
247.0,66.0
410.0,66.0
411.0,66.0
246.0,67.0
247.0,67.0
411.0,67.0
246.0,68.0
411.0,68.0
412.0,68.0
245.0,69.0
246.0,69.0
412.0,69.0
245.0,70.0
412.0,70.0
413.0,70.0
244.0,71.0
245.0,71.0
413.0,71.0
243.0,72.0
244.0,72.0
413.0,72.0
414.0,72.0
243.0,73.0
414.0,73.0
242.0,74.0
243.0,74.0
414.0,74.0
415.0,74.0
242.0,75.0
415.0,75.0
416.0,75.0
241.0,76.0
242.0,76.0
416.0,76.0
241.0,77.0
416.0,77.0
417.0,77.0
240.0,78.0
241.0,78.0
417.0,78.0
240.0,79.0
417.0,79.0
418.0,79.0
239.0,80.0
240.0,80.0
418.0,80.0
239.0,81.0
418.0,81.0
419.0,81.0
238.0,82.0
239.0,82.0
419.0,82.0
238.0,83.0
419.0,83.0
420.0,83.0
237.0,84.0
238.0,84.0
420.0,84.0
237.0,85.0
420.0,85.0
237.0,86.0
420.0,86.0
421.0,86.0
236.0,87.0
237.0,87.0
421.0,87.0
236.0,88.0
421.0,88.0
422.0,88.0
235.0,89.0
236.0,89.0
422.0,89.0
235.0,90.0
422.0,90.0
423.0,90.0
234.0,91.0
235.0,91.0
423.0,91.0
234.0,92.0
423.0,92.0
234.0,93.0
424.0,93.0
233.0,94.0
424.0,94.0
233.0,95.0
424.0,95.0
233.0,96.0
425.0,96.0
232.0,97.0
425.0,97.0
232.0,98.0
426.0,98.0
231.0,99.0
426.0,99.0
231.0,100.0
426.0,100.0
231.0,101.0
427.0,101.0
230.0,102.0
427.0,102.0
230.0,103.0
428.0,103.0
230.0,104.0
428.0,104.0
229.0,105.0
428.0,105.0
229.0,106.0
429.0,106.0
229.0,107.0
429.0,107.0
228.0,108.0
429.0,108.0
228.0,109.0
430.0,109.0
228.0,110.0
430.0,110.0
227.0,111.0
430.0,111.0
227.0,112.0
431.0,112.0
227.0,113.0
431.0,113.0
226.0,114.0
431.0,114.0
226.0,115.0
431.0,115.0
226.0,116.0
432.0,116.0
225.0,117.0
432.0,117.0
225.0,118.0
432.0,118.0
225.0,119.0
432.0,119.0
225.0,120.0
433.0,120.0
224.0,121.0
433.0,121.0
224.0,122.0
433.0,122.0
224.0,123.0
433.0,123.0
224.0,124.0
434.0,124.0
224.0,125.0
434.0,125.0
223.0,126.0
434.0,126.0
223.0,127.0
434.0,127.0
223.0,128.0
434.0,128.0
223.0,129.0
435.0,129.0
223.0,130.0
435.0,130.0
222.0,131.0
435.0,131.0
222.0,132.0
435.0,132.0
222.0,133.0
435.0,133.0
222.0,134.0
435.0,134.0
222.0,135.0
436.0,135.0
222.0,136.0
436.0,136.0
221.0,137.0
436.0,137.0
221.0,138.0
436.0,138.0
221.0,139.0
436.0,139.0
221.0,140.0
436.0,140.0
221.0,141.0
436.0,141.0
221.0,142.0
437.0,142.0
221.0,143.0
437.0,143.0
221.0,144.0
437.0,144.0
221.0,145.0
437.0,145.0
221.0,146.0
437.0,146.0
220.0,147.0
437.0,147.0
220.0,148.0
437.0,148.0
220.0,149.0
437.0,149.0
220.0,150.0
437.0,150.0
220.0,151.0
437.0,151.0
220.0,152.0
437.0,152.0
220.0,153.0
437.0,153.0
220.0,154.0
437.0,154.0
220.0,155.0
437.0,155.0
220.0,156.0
437.0,156.0
220.0,157.0
437.0,157.0
220.0,158.0
437.0,158.0
220.0,159.0
437.0,159.0
220.0,160.0
437.0,160.0
220.0,161.0
437.0,161.0
220.0,162.0
437.0,162.0
220.0,163.0
437.0,163.0
220.0,164.0
437.0,164.0
220.0,165.0
437.0,165.0
220.0,166.0
437.0,166.0
220.0,167.0
437.0,167.0
221.0,168.0
437.0,168.0
221.0,169.0
437.0,169.0
221.0,170.0
437.0,170.0
221.0,171.0
437.0,171.0
221.0,172.0
